Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n52,n52,Klobuchar,52,46.72899967,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010694887,0,0.960784314,1274,0.861523822
n53,n53,Kohl,51,45.98500001,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010526434,0,0.988235294,1260,0.849107795
n54,n54,Kyl,44,35.29900014,3,0.521505376,4.90E-04,0.009266886,0.009266886,1,0.009879737,0,0.975687104,923,0.461600823
n55,n55,Landrieu,51,41.92199993,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.009732196,0,0.988235294,1260,0.849107795
n56,n56,Lautenberg,51,46.03400004,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010535617,0,0.988235294,1260,0.849107795
n57,n57,Leahy,51,45.24199992,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010380941,0,0.988235294,1260,0.849107795
n58,n58,Levin,50,44.87800002,3,0.551136364,0,0.010502472,0.010502472,0,0.010299909,0,1,1225,0.830538372
n59,n59,Lieberman,52,43.4549998,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010053674,0,0.960784314,1274,0.861523822
n60,n60,Lincoln,52,44.74699992,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010307539,0,0.960784314,1274,0.861523822
n61,n61,Lott,46,37.19899994,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.01031505,0,0.954589372,988,0.490099844
n62,n62,Lugar,46,35.01100016,2,0.655405405,0.007130201,0.009678748,0.009678748,1,0.00976205,0,0.93236715,965,0.500961001
n63,n63,Martinez,46,37.13700002,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010300629,0,0.954589372,988,0.490099844
n64,n64,McCain,46,37.43300015,2,0.655405405,0.007952839,0.009678748,0.009678748,1,0.010346259,0,0.924637681,957,0.498909889
n65,n65,McCaskill,50,41.11299986,3,0.551136364,0,0.010502472,0.010502472,0,0.009563784,0,1,1225,0.830538372
n66,n66,McConnell,46,38.95799989,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.01073292,0,0.954589372,988,0.490099844
n67,n67,Menendez,51,45.89799988,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010508806,0,0.988235294,1260,0.849107795
n68,n68,Mikulski,52,46.47300023,3,0.638157895,0.002865311,0.010914333,0.010914333,0,0.010644172,0,0.960784314,1274,0.861523822
n69,n69,Murkowski,47,37.27300006,2,0.659863946,0.007957508,0.009884679,0.009884679,1,0.010303079,0,0.926919519,1002,0.509477446
n70,n70,Murray,51,45.98799992,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010526753,0,0.988235294,1260,0.849107795
n71,n71,Nelson (FL),51,45.07500005,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010348937,0,0.988235294,1260,0.849107795
n72,n72,Nelson (NE),54,42.32100016,3,0.678321678,0.01258914,0.011326195,0.011326195,0,0.009892853,0,0.898672257,1286,0.882936031
n73,n73,Obama,50,44.59199971,3,0.551136364,0,0.010502472,0.010502472,0,0.010243432,0,1,1225,0.830538372
n74,n74,Pryor,53,43.82199991,3,0.673611111,0.008202456,0.011120264,0.011120264,0,0.010153088,0,0.928882438,1280,0.873006433
n75,n75,Reed,51,46.10599977,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010550183,0,0.988235294,1260,0.849107795
n76,n76,Reid,51,45.19399989,3,0.625806452,0.002019491,0.010708402,0.010708402,0,0.010383817,0,0.970980392,1238,0.842954399
n77,n77,Roberts,46,37.81100005,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010459583,0,0.954589372,988,0.490099844
n78,n78,Rockefeller,50,43.06300008,3,0.551136364,0,0.010502472,0.010502472,0,0.009945621,0,1,1225,0.830538372
n79,n79,Salazar,53,46.27299988,3,0.673611111,0.008202456,0.011120264,0.011120264,0,0.010632838,0,0.928882438,1280,0.873006433
n80,n80,Sanders,51,44.68299967,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010271415,0,0.988235294,1260,0.849107795
n81,n81,Schumer,51,45.6680001,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010463821,0,0.988235294,1260,0.849107795
n82,n82,Sessions,45,36.48499995,3,0.591463415,0.001981975,0.009472817,0.009472817,1,0.010151177,0,0.964646465,955,0.477683816
